IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
34.175.244.157,2083,80,false,MAD,Europe,Madrid,183,0.00
34.175.99.73,2096,80,false,MAD,Europe,Madrid,184,0.00
34.175.7.231,2082,80,false,MAD,Europe,Madrid,184,0.00
34.175.7.231,2087,80,false,MAD,Europe,Madrid,185,0.00
34.175.244.157,2053,80,false,MAD,Europe,Madrid,185,0.00
34.175.161.245,2086,80,false,MAD,Europe,Madrid,185,0.00
34.102.111.127,80,80,false,LAX,North America,Los Angeles,185,0.00
34.175.161.245,2053,80,false,MAD,Europe,Madrid,185,0.00
34.175.168.99,2087,80,false,MAD,Europe,Madrid,185,0.00
34.175.161.245,2083,80,false,MAD,Europe,Madrid,185,0.00
34.175.7.231,2052,80,false,MAD,Europe,Madrid,186,0.00
34.175.95.58,2053,80,false,MAD,Europe,Madrid,187,0.00
34.175.133.251,2087,80,false,MAD,Europe,Madrid,188,0.00
34.175.161.245,2096,80,false,MAD,Europe,Madrid,188,0.00
34.175.95.58,2095,80,false,MAD,Europe,Madrid,188,0.00
34.175.99.73,2052,80,false,MAD,Europe,Madrid,190,0.00
34.175.95.58,2096,80,false,MAD,Europe,Madrid,193,0.00
35.239.252.197,80,80,false,ORD,North America,Chicago,207,0.00
35.188.87.85,80,8080,false,ORD,North America,Chicago,207,0.00
35.232.39.116,80,80,false,DFW,North America,Dallas,208,0.00
35.225.207.21,80,80,false,ORD,North America,Chicago,208,0.00
34.132.249.182,8080,80,false,ORD,North America,Chicago,208,0.00
34.135.226.181,80,80,false,ORD,North America,Chicago,211,0.00
34.147.101.117,2083,80,false,AMS,Europe,Amsterdam,217,0.00
34.148.83.223,80,80,false,ATL,North America,Atlanta,223,0.00
34.148.83.223,80,80,false,ATL,North America,Atlanta,224,0.00
34.74.105.17,80,8080,false,ATL,North America,Atlanta,225,0.00
34.74.105.17,80,8080,false,ATL,North America,Atlanta,225,0.00
35.237.154.5,80,80,false,ATL,North America,Atlanta,226,0.00
34.74.105.17,80,8080,false,ATL,North America,Atlanta,226,0.00
34.74.105.17,80,8080,false,ATL,North America,Atlanta,226,0.00
34.147.101.117,2082,80,false,AMS,Europe,Amsterdam,287,0.00
